począwszy od, od;a partir de
przez, poprzez;a través de
do, przy;a
w dół, na dół, na dole;abajo
porzucać, opuszczać;abandonar
otwierać;abrir
zupełny, całkowity,;absoluto
wcale;en absoluto
dziadek;abuelo
kończyć;acabar
może;acaso
czyn, czynność, działanie;acción
akceptować, zgadzać się;aceptar
zbliżać się;acercarse
towarzyszyć;acompañar
uzgodnić;acordar
pamiętać, przypominać sobie;acordarse
postawa, stanowisko;actitud
zajęcie, aktywność, zadanie;actividad
czyn, akt;acto
obecny, aktualny;actual
grać (np. w filmie), odgrywać rolę;actuar
przybyć, stawić się;acudir
zgoda, ok;acuerdo
naprzód, proszę wejść;adelante
oprócz tego, że;además (de)
uzyskać, nabyć;adquirir
ostrzegać, zwracać uwagę;advertir
dotykać, poruszać;afectar
potwierdzać, stwierdzać;afirmar
woda;agua
tam;ahí
teraz;ahora
powietrze;aire
do (forma skrócona od a i el);al
osiągać, dosięgać;alcanzar
oddalać się;alejarse
Niemiec, niemiecki;alemán
coś;algo
ktoś;alguien
jakiś, pewien;alguno/algún(skrót)
tam;allí
dusza;alma
wysoki;alto
wysokość;altura
kochać;amar
oba, obydwa, oboje;ambos
Amerykanin, amerykański;americano
kolega, przyjaciel;amigo
miłość;amor
szeroki, obszerny;amplio
dodawać;añadir
analiza;análisis
chodzić, działać;andar
zwierzę;animal
rok;año
przed, wobec, w obecności;ante
przedtem, wcześniej;antes
poprzedni, uprzedni, wcześniejszy;anterior
przed;antes de
stary, dawny, starożytny;antiguo
ogłaszać, reklamować, zapowiadać;anunciar
pojawiać się;aparecer
ledwo, zaledwie;apenas
(za)stosować;aplicar
popierać, wspierać;apoyar
(na)uczyć się;aprender
(s)korzystać, wykorzystać;aprovechar
tamten;aquel
tamto/tamta;aquello/a
tutaj;aquí
drzewo;árbol
broń;arma
do góry, w górę;arriba
sztuka;arte
zapewniać, ubezpieczać;asegurar
tak jak;así como
więc;así que
w ten sposób;así
wygląd, aspekt;aspecto
sprawa, kwestia;asunto
uwaga, wzgląd;atención
za, z tyłu, w tyle;atrás
odważyć się;atreverse
wzrastać, zwiększać;aumentar
nawet;aun
jeszcze;aún
chociaż, mimo że;aunque
prawdziwy, autentyczny;auténtico
autor, twórca;autor
władze, autorytet;autoridad
iść naprzód, robić postępy;avanzar
wczoraj;ayer
pomoc;ayuda
pomagać;ayudar
niebieski;azul
schodzić (po schodach), zjeżdżać (windą), obniżać;bajar
niski, pod, bas;bajo
dzielnica, osiedle;barrio
podstawa, baza;base
dosyć, dość, wystarczająco;bastante
wystarczać;bastar
pić;beber
dobrze, dobro;bien
biały;blanco
usta;boca
ramię, ręka;brazo
dobry;buen(o)
szukać;buscar
koń;caballo
głowa;cabeza
koniec, przylądek;cabo
doprowadzić do końca, skończyć;llevar a cabo
każdy, każda;cada
łańcuch, kanał telewizyjny;cadena
upaść, spaść;caer
ulica;calle
łóżko;cama
zmieniać, wymieniać;cambiar
zmiana, wymiana;cambio
iść, wędrować;caminar
droga;camino
kampania;campaña
wieś, pole, boisko;campo
śpiewać;cantar
ilość;cantidad
zdolność, pojemność;capacidad
zdolny (do czegoś);capaz
stolica;capital
twarz;cara
charakter;carácter
mięso;carne
wyścig, kariera, kierunek studiów;carrera
list;carta
dom, mieszkanie;casa
zamężna, mężatka;casada
żonaty;casado
pobrać się;casarse
prawie;casi
przypadek;caso
powód, przyczyna;causa
świętować, obchodzić;celebrar
telefon komórkowy;móvil
centralny, główny;central
centrum, środek, ośrodek;centro
mózg;cerebro
zamykać;cerrar
dziewczyna;chica
chłopak;chico
niebo;cielo
nauka;ciencia
naukowy, naukowiec;científico
sto;cien(to)
jakiś, pewien, pewny;cierto
pięć;cinco
kino;cine
okoliczność;circunstancia
miasto;ciudad
obywatel (miasta, kraju);ciudadano
cywilny;civil
jasne, jasny, jasno;claro
klasa, lekcja;clase
samochód;coche
brać, zbierać;coger
jechać metrem/taksówką (wziąć taksówkę);coger el metro/taxi
umieścić, ustawić;colocar
kolor;color
komentować, objaśniać;comentar
zaczynać;comenzar
jeść;comer
jako że, tak jak;como
jak, jaki, jaka;cómo
towarzysz, kolega;compañero
kompania, towarzystwo;compañía
kompletny, cały;completo
kupić;comprar
rozumieć;comprender
sprawdzić;comprobar
wspólny, powszechny, zwykły;común
komunikacja, łączność, porozumiewanie się;comunicación
z;con
pojęcie, myśl, koncept;concepto
